class,sha,short_title,component,mechanism
Lease and reservation leaks,592d47b3df7b0e8c830d531b5625dcccb9c3f919,fix(proxy): prevent API key reservation leak on stream retry and compact errors,api-keys/proxy,reservation settlement moved to exactly-once retry wrapper
Lease and reservation leaks,a8ebe6cd6612417d90750b9c72d0046875bc1f1d,fix(proxy): finalize v1 responses non-stream reservations,api-keys/responses,non-stream terminal path finalizes held reservation
Lease and reservation leaks,015f669e44826ac4373f9410ba78d596b97995ae,fix(proxy): prevent admission semaphore leak and raise concurrency limits,proxy/admission,CancelledError leaked semaphore slots without scoped lease release
Lease and reservation leaks,663562892396d53affc2f2ddb12790d30487e970,fix(db): recover stale reservations and serialize sqlite writers,api-keys/db,stale reservations recovered and SQLite writer paths serialized
Lease and reservation leaks,ea72eeaac9b8512ba2684f5617c5e6fa04a39fc1,fix(api-keys): size usage reservations from request budget,api-keys/reservations,reservation size tied to request budget instead of static overclaim
Lease and reservation leaks,fe625bfb78d8040c664ba2153e1e48275f327be3,fix(proxy): settle API-key reservation before budget-exhausted compact preflight raises,compact/api-keys,budget-exhausted preflight raised before releasing reservation
Lease and reservation leaks,934904045837a1c23fc260b2fb38927040f7e6d3,fix(proxy): release idle bridge sessions' account stream leases,http-bridge/leases,idle bridge sessions held account stream leases past active turns
Lease and reservation leaks,f06173e779b17a7e1fed5b14a24db867fd059caf,fix(proxy): release pending websocket stream leases on disconnect,websocket/leases,overwritten or disconnected websocket turn leaked old stream lease
Lease and reservation leaks,783665b958f62cb8b39c5c74dd977774bde85189,fix(quota): release reservations on header failure,api-keys/proxy,header failure path left reservation pinned
Lease and reservation leaks,35e09f68ad6700c5d7e44636aceca24bd948cf72,fix(proxy): retry detached API key release,api-keys/detached-persistence,detached release needed bounded retry after persistence failure
Timeout budget mismatch and stuck streams,aa65e97d6f9f2c5014e4d032a7d81b3e8af8d618,fix(proxy): decouple stream duration from proxy request budget,streaming/timeouts,total request budget killed healthy long streams
Timeout budget mismatch and stuck streams,77dbc8a123c5ef3db122923d3a80d3e5b5e86ce2,fix(proxy): raise timeout defaults and remove getattr anti-pattern,proxy/timeouts,defaults were shorter than real reasoning stream duration
Timeout budget mismatch and stuck streams,77944c93b61c516f205681e1b09bbba38c46f88e,fix(proxy): retry transient stream timeouts,streaming/retry,transient stream timeout was treated as final failure
Timeout budget mismatch and stuck streams,66302c3efe026813fb4bd48c5754fc3b7926dfbd,fix(proxy): inject SSE keepalive comment frames to prevent client stream hangs,SSE/client-stream,idle client-facing stream went silent long enough to hang clients
Timeout budget mismatch and stuck streams,d4520d7ad7d15d3676b1ba46a91be149f7fe2854,fix(proxy): handle model fetch timeouts,models/upstream,model fetch timeout needed bounded handling
Timeout budget mismatch and stuck streams,28c243078f7b10d8c08f01f3c6f3bd02f229d056,fix(proxy): add HTTP bridge keepalive backstop and prewarm timeout,http-bridge/prewarm,bridge startup and keepalive waits were unbounded or misbudgeted
Timeout budget mismatch and stuck streams,ccdf99fd4b3695b7f9933af9886b0f9e5d252477,fix(proxy): respect stream_idle_timeout_seconds in HTTP bridge keepalive backstop,http-bridge/keepalive,keepalive backstop ignored configured idle timeout
Timeout budget mismatch and stuck streams,978797a82a8931f95695d837be2d7cc3cf073703,fix(proxy): classify request budget exhaustion as timeout,proxy/errors,budget exhaustion lost timeout classification
Timeout budget mismatch and stuck streams,17e8abc0eca7cb823eb3c7f7e9687b45dca920a8,fix(proxy): keep idle timeout classification after scheduler jitter,proxy/timeouts,scheduler jitter changed timeout classification
Timeout budget mismatch and stuck streams,de2c5fc09ef54c22dec3664c292812c3e8af1846,fix(proxy): extend websocket stream budget,websocket/timeouts,websocket used shorter generic budget than native long streams need
Timeout budget mismatch and stuck streams,af5051f871fef7f87d8da499f29e9a61a36d36d4,fix(proxy): bound upstream streams that never send response headers,upstream-http/timeouts,connection after handshake could wait forever before response headers
Stale continuity anchor and owner mapping,85802e64bdde414b576aac2c299d3a075f8d603b,fix(proxy): preserve previous_response_id on bridge recovery to prevent context blowup,http-bridge/continuity,recovery converted transient owner loss into previous_response_not_found
Stale continuity anchor and owner mapping,4fccca1e994397a13c885d1a98a24988527df43e,fix(proxy): harden continuity recovery safe WS replay and shutdown/restart bridge lifecycle,proxy/continuity,broad continuity ownership and replay state hardening
Stale continuity anchor and owner mapping,c42c823640e85e0b6dc2baa7a6188270d9ebda57,test(proxy): lock previous_response_id retries to reconnect-only recovery,tests/continuity,test pinned retry semantics to reconnect-only recovery
Stale continuity anchor and owner mapping,d80fc0c68cdce70a299588daa8ad04cd82f9bfa0,fix(proxy): prevent context blowup by trimming input on client-supplied previous_response_id,proxy/continuity,client anchor plus full input could grow context without trimming
Stale continuity anchor and owner mapping,637fa85e6aadc4ef363e379d5a3acb2a5bbbf900,fix(proxy): inject session-level previous_response_id to enable input trimming for all clients,proxy/continuity,session-level anchor needed for consistent trimming and continuity
